id,city,position,salary,link
0,Уфа,Менеджер по продажам (автомобилестроение),50 000 — 150 000 руб.,https://bashkortostan.rabota.ru/vacancy/52270581/?search_id=1740917780234bwrcghvelfp
1,,,,https://bashkortostan.rabota.ru/vacancy/49991550/?search_id=1740917780234bwrcghvelfp
2,Уфа,Формовщик,50 000 — 65 000 руб.,https://bashkortostan.rabota.ru/vacancy/50091036/?search_id=1740917780234bwrcghvelfp
3,Уфа,Жиловщик,42 100 — 64 000 руб.,https://bashkortostan.rabota.ru/vacancy/50090993/?search_id=1740917780234bwrcghvelfp
4,Уфа,Мойщик тары,32 500 руб.,https://bashkortostan.rabota.ru/vacancy/50090932/?search_id=1740917780234bwrcghvelfp
5,Уфа,Разнорабочий (химический склад),60 000 руб.,https://bashkortostan.rabota.ru/vacancy/52270495/?search_id=1740917780234bwrcghvelfp
6,,,,https://bashkortostan.rabota.ru/vacancy/49991551/?search_id=1740917780234bwrcghvelfp
7,Казань,Администратор-консультант чата поддержки (удаленно),до 65 000 руб.,https://bashkortostan.rabota.ru/vacancy/52279397/?search_id=1740917780234bwrcghvelfp
8,Нижний Новгород,Консультант входящих сообщений (подработка),45 000 — 85 000 руб.,https://bashkortostan.rabota.ru/vacancy/52279389/?search_id=1740917780234bwrcghvelfp
9,Краснодар,Оператор колл-центра (удаленно),35 000 — 60 000 руб.,https://bashkortostan.rabota.ru/vacancy/52274855/?search_id=1740917780234bwrcghvelfp
10,Москва,Консультант входящих сообщений (удалённо),до 65 000 руб.,https://bashkortostan.rabota.ru/vacancy/52266283/?search_id=1740917780234bwrcghvelfp
11,Москва,Data Scientist,до 100 000 руб.,https://bashkortostan.rabota.ru/vacancy/52256078/?search_id=1740917780234bwrcghvelfp
12,Санкт-Петербург,Начинающий оператор,от 51 000 руб.,https://bashkortostan.rabota.ru/vacancy/52132828/?search_id=1740917780234bwrcghvelfp
13,Алапаевск,Менеджер по продажам,40 000 — 220 000 руб.,https://bashkortostan.rabota.ru/vacancy/52122578/?search_id=1740917780234bwrcghvelfp
14,,,,https://bashkortostan.rabota.ru/vacancy/51506372/?search_id=1740917780234bwrcghvelfp
15,Москва,Педагог по ментальной арифметике,по договоренности,https://bashkortostan.rabota.ru/vacancy/52122477/?search_id=1740917780234bwrcghvelfp
16,Москва,Администратор-консультант поддержки (удаленно),до 65 000 руб.,https://bashkortostan.rabota.ru/vacancy/52121073/?search_id=1740917780234bwrcghvelfp
17,Москва,Программист-разработчик (Oracle),от 200 000 руб.,https://bashkortostan.rabota.ru/vacancy/50587644/?search_id=1740917780234bwrcghvelfp
18,Уфа,Продавец-консультант,35 000 — 45 000 руб.,https://bashkortostan.rabota.ru/vacancy/47173358/?search_id=1740917780234bwrcghvelfp
19,Уфа,Специалист по документообороту (Юридическое управление),по договоренности,https://bashkortostan.rabota.ru/vacancy/52269979/?search_id=1740917780234bwrcghvelfp
20,Стерлитамак,Ведущий специалист по взысканию,от 69 500 руб.,https://bashkortostan.rabota.ru/vacancy/52269756/?search_id=1740917780234bwrcghvelfp
21,Уфа,Менеджер по продажам,от 60 000 руб.,https://bashkortostan.rabota.ru/vacancy/51553600/?search_id=1740917780234bwrcghvelfp
22,Уфа,Товаровед интернет-магазина (Советский р-н),46 460 — 68 402 руб.,https://bashkortostan.rabota.ru/vacancy/51338451/?search_id=1740917780234bwrcghvelfp
23,Уфа,Мобильный товаровед склада Самокат,от 54 119 руб.,https://bashkortostan.rabota.ru/vacancy/51338389/?search_id=1740917780234bwrcghvelfp
24,Уфа,Администратор склада (Орджоникидзевский р-н),46 460 — 68 402 руб.,https://bashkortostan.rabota.ru/vacancy/51338441/?search_id=1740917780234bwrcghvelfp
25,Стерлитамак,Старший клиентский менеджер по работе с корпоративными клиентами (крупный/средний бизнес),по договоренности,https://bashkortostan.rabota.ru/vacancy/52263962/?search_id=1740917780234bwrcghvelfp
26,Уфа,Оператор на линию термоусадки,от 50 000 руб.,https://bashkortostan.rabota.ru/vacancy/52263959/?search_id=1740917780234bwrcghvelfp
27,,,,https://bashkortostan.rabota.ru/vacancy/51250023/?search_id=1740917780234bwrcghvelfp
28,,,,https://bashkortostan.rabota.ru/vacancy/49895376/?search_id=1740917780234bwrcghvelfp
29,,,,https://bashkortostan.rabota.ru/vacancy/49521512/?search_id=1740917780234bwrcghvelfp
30,Уфа,Машинист автомобильного крана (25 тонн),230 000 — 380 000 руб.,https://bashkortostan.rabota.ru/vacancy/52264825/
31,Уфа,"Машинист паровой передвижной установки (ППУ, ППДУ)",180 000 — 320 000 руб.,https://bashkortostan.rabota.ru/vacancy/52264806/
32,,,,https://bashkortostan.rabota.ru/vacancy/50387806/
33,Уфа,Грузчик,от 40 000 руб.,https://bashkortostan.rabota.ru/vacancy/52264018/
34,,,,https://bashkortostan.rabota.ru/vacancy/49895372/
35,Уфа,Врач травматолог-ортопед в протезный центр,по договоренности,https://bashkortostan.rabota.ru/vacancy/52259822/
36,Уфа,Специалист по сопровождению лизинговой сделки,от 35 000 руб.,https://bashkortostan.rabota.ru/vacancy/52259009/
37,Уфа,Делопроизводитель,от 50 000 руб.,https://bashkortostan.rabota.ru/vacancy/51278597/
38,Уфа,Курьер (подработка),83 000 — 139 000 руб.,https://bashkortostan.rabota.ru/vacancy/49094440/
39,,,,https://bashkortostan.rabota.ru/vacancy/52114707/
40,Уфа,Помощник менеджера по продажам,35 000 — 45 000 руб.,https://bashkortostan.rabota.ru/vacancy/52132723/
41,,,,https://bashkortostan.rabota.ru/vacancy/50404836/
42,Уфа,Курьер пеший,83 000 — 129 000 руб.,https://bashkortostan.rabota.ru/vacancy/49259711/
43,Салават,Заместитель директора магазина (ТЦ Магнит),52 996 руб.,https://bashkortostan.rabota.ru/vacancy/48940122/
44,,,,https://bashkortostan.rabota.ru/vacancy/48997964/
45,Уфа,Специалист по доставке банковских карт (без поиска клиентов),от 75 000 руб.,https://bashkortostan.rabota.ru/vacancy/52233830/
46,Колпино,Оператор входящей/исходящей линии (удаленно),35 000 — 45 000 руб.,https://bashkortostan.rabota.ru/vacancy/52237911/
47,Новокузнецк,Оператор входящей/исходящей линии (удаленно),35 000 — 45 000 руб.,https://bashkortostan.rabota.ru/vacancy/52264841/
48,,,,https://bashkortostan.rabota.ru/vacancy/49826509/
49,Уфа,Водитель-курьер с личным автомобилем,от 120 000 руб.,https://bashkortostan.rabota.ru/vacancy/52115231/
50,Уфа,Курьер на велосипеде,по договоренности,https://bashkortostan.rabota.ru/vacancy/52113747/
51,Стерлитамак,Грузчик-разнорабочий,35 000 — 45 000 руб.,https://bashkortostan.rabota.ru/vacancy/51694227/
52,Уфа,Курьер,от 95 000 руб.,https://bashkortostan.rabota.ru/vacancy/50312842/
53,Уфа,Специалист пропускного контроля (охранник),50 100 — 75 100 руб.,https://bashkortostan.rabota.ru/vacancy/48267959/
54,Уфа,Врач-офтальмолог,190 000 — 210 000 руб.,https://bashkortostan.rabota.ru/vacancy/52111606/
55,Уфа,Курьер,до 120 000 руб.,https://bashkortostan.rabota.ru/vacancy/49841396/
56,Уфа,Токарь,от 55 000 руб.,https://bashkortostan.rabota.ru/vacancy/32541187/
57,Уфа,Слесарь механосборочных работ,от 60 000 руб.,https://bashkortostan.rabota.ru/vacancy/34783106/
58,Уфа,Бухгалтер по УСН,65 000 — 85 000 руб.,https://bashkortostan.rabota.ru/vacancy/51629061/
59,Кострома,Оператор call-центра (удаленно),25 000 — 40 000 руб.,https://bashkortostan.rabota.ru/vacancy/50491664/
60,Уфа,Инженер-электрик по обслуживанию буровых (электропривод),по договоренности,https://bashkortostan.rabota.ru/vacancy/51934781/
61,Уфа,Мастер по эксплуатации оборудования,70 000 — 80 000 руб.,https://bashkortostan.rabota.ru/vacancy/51918525/
