id,city,position,salary,link
0,Челябинск,Продавец непродовольственных товаров,20 000 — 30 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/49692548/?search_id=17409187912011i3aawarn6gi
1,Казань,Администратор-консультант чата поддержки (удаленно),до 65 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52279397/?search_id=17409187912011i3aawarn6gi
2,Нижний Новгород,Консультант входящих сообщений (подработка),45 000 — 85 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52279389/?search_id=17409187912011i3aawarn6gi
3,Челябинск,Монтер пути,от 90 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52270536/?search_id=17409187912011i3aawarn6gi
4,Краснодар,Оператор колл-центра (удаленно),35 000 — 60 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52274855/?search_id=17409187912011i3aawarn6gi
5,Коркино,Электрик,от 80 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52217280/?search_id=17409187912011i3aawarn6gi
6,Коркино,Слесарь-наладчик на производство труб,50 000 — 70 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52117416/?search_id=17409187912011i3aawarn6gi
7,Москва,Консультант входящих сообщений (удалённо),до 65 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52266283/?search_id=17409187912011i3aawarn6gi
8,,,,https://chelyabinskaya.rabota.ru/vacancy/49988803/?search_id=17409187912011i3aawarn6gi
9,,,,https://chelyabinskaya.rabota.ru/vacancy/49988783/?search_id=17409187912011i3aawarn6gi
10,Москва,Data Scientist,до 100 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52256078/?search_id=17409187912011i3aawarn6gi
11,Санкт-Петербург,Начинающий оператор,от 51 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52132828/?search_id=17409187912011i3aawarn6gi
12,,,,https://chelyabinskaya.rabota.ru/vacancy/51506372/?search_id=17409187912011i3aawarn6gi
13,Алапаевск,Менеджер по продажам,40 000 — 220 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52122578/?search_id=17409187912011i3aawarn6gi
14,Москва,Педагог по ментальной арифметике,по договоренности,https://chelyabinskaya.rabota.ru/vacancy/52122477/?search_id=17409187912011i3aawarn6gi
15,Москва,Администратор-консультант поддержки (удаленно),до 65 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52121073/?search_id=17409187912011i3aawarn6gi
16,Москва,Программист-разработчик (Oracle),от 200 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50587644/?search_id=17409187912011i3aawarn6gi
17,Челябинск,Бухгалтер-делопроизводитель,45 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52269605/?search_id=17409187912011i3aawarn6gi
18,Челябинск,Регулировщик РЭА и приборов,от 65 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52269082/?search_id=17409187912011i3aawarn6gi
19,Село Еткуль,Менеджер по работе с клиентами (Белоусово),от 21 500 руб.,https://chelyabinskaya.rabota.ru/vacancy/52265275/?search_id=17409187912011i3aawarn6gi
20,Златоуст,Водитель-инкассатор,от 70 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52265211/?search_id=17409187912011i3aawarn6gi
21,Челябинск,Менеджер направления по коммуникациям и событийным проектам,по договоренности,https://chelyabinskaya.rabota.ru/vacancy/52264025/?search_id=17409187912011i3aawarn6gi
22,Челябинск,Нормировщик подземного рудника (Алтайский край),по договоренности,https://chelyabinskaya.rabota.ru/vacancy/50490481/?search_id=17409187912011i3aawarn6gi
23,Челябинск,Бурильщик шпуров подземный (ПГУ-1 КР),по договоренности,https://chelyabinskaya.rabota.ru/vacancy/50490477/?search_id=17409187912011i3aawarn6gi
24,,,,https://chelyabinskaya.rabota.ru/vacancy/50091265/?search_id=17409187912011i3aawarn6gi
25,,,,https://chelyabinskaya.rabota.ru/vacancy/49763720/?search_id=17409187912011i3aawarn6gi
26,Челябинск,Менеджер коллцентра,от 52 500 руб.,https://chelyabinskaya.rabota.ru/vacancy/52259783/?search_id=17409187912011i3aawarn6gi
27,Челябинск,Электромонтажник (силовые сети),80 000 — 120 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52258688/?search_id=17409187912011i3aawarn6gi
28,Магнитогорск,"Продавец-кассир (ТЦ ""Гостиный двор"")",от 34 500 руб.,https://chelyabinskaya.rabota.ru/vacancy/52109454/?search_id=17409187912011i3aawarn6gi
29,Челябинск,Курьер (подработка),83 000 — 139 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/49094435/?search_id=17409187912011i3aawarn6gi
30,Челябинск,"Кладовщик (ТЦ ""Алмаз"")",41 800 руб.,https://chelyabinskaya.rabota.ru/vacancy/50984851/
31,Челябинск,Оператор на телефоне,от 49 500 руб.,https://chelyabinskaya.rabota.ru/vacancy/52233928/
32,Челябинск,Инженер ПТО,от 70 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52222113/
33,Златоуст,Менеджер по продажам услуг связи,до 35 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50395995/
34,Челябинск,Начинающий специалист по продажам,до 45 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50395994/
35,Магнитогорск,Начинающий специалист по продажам,до 45 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50395906/
36,,,,https://chelyabinskaya.rabota.ru/vacancy/49829481/
37,,,,https://chelyabinskaya.rabota.ru/vacancy/49518790/
38,,,,https://chelyabinskaya.rabota.ru/vacancy/49442063/
39,Челябинск,Водитель-курьер на личном автомобиле,99 000 — 148 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/49087350/
40,Челябинск,Менеджер по работе с клиентами,32 600 — 48 560 руб.,https://chelyabinskaya.rabota.ru/vacancy/52122313/
41,Челябинск,Машинист буровой установки УРБ-2ДЗ,от 150 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52121874/
42,Челябинск,Инженер - монтажник,от 90 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50619643/
43,Миасс,Автослесарь,70 000 — 100 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50175287/
44,Челябинск,Автослесарь (р-н ЧТЗ),70 000 — 100 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50069538/
45,Челябинск,Курьер на своем автомобиле,104 000 — 146 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/49014220/
46,Челябинск,Повар мясного цеха (производство мясных полуфабрикатов),57 500 — 86 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50537058/
47,Сим,Доводчик-притирщик,от 120 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52259828/
48,Колпино,Оператор входящей/исходящей линии (удаленно),35 000 — 45 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52237911/
49,Новокузнецк,Оператор входящей/исходящей линии (удаленно),35 000 — 45 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52264841/
50,Челябинск,Медицинская сестра,53 055 руб.,https://chelyabinskaya.rabota.ru/vacancy/52114825/
51,,,,https://chelyabinskaya.rabota.ru/vacancy/52113583/
52,,,,https://chelyabinskaya.rabota.ru/vacancy/50244407/
53,Магнитогорск,Специалист пропускного контроля (охранник),53 600 — 80 400 руб.,https://chelyabinskaya.rabota.ru/vacancy/49597682/
54,Челябинск,Бухгалтер,30 000 — 40 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52111461/
55,Челябинск,Медицинская сестра,31 000 — 42 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52095321/
56,Копейск,Подсобный рабочий,30 000 — 60 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52108632/
57,Челябинск,Работник ПВЗ (пункт выдачи заказов),27 000 — 40 500 руб.,https://chelyabinskaya.rabota.ru/vacancy/52108497/
58,Челябинск,Менеджер по работе с клиентами,40 000 — 80 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52105247/
59,Челябинск,Главный бухгалтер рабочей группы,70 000 — 90 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52094973/
60,Челябинск,Кассир,от 40 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52094911/
61,Кострома,Оператор call-центра (удаленно),25 000 — 40 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50491664/
62,Челябинск,Менеджер по продажам,60 000 — 100 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/51963745/
63,Челябинск,Бухгалтер,по договоренности,https://chelyabinskaya.rabota.ru/vacancy/51954857/
64,Челябинск,Продавец техники Dyson,от 62 700 руб.,https://chelyabinskaya.rabota.ru/vacancy/51948901/
65,Магнитогорск,Кладовщик склада,от 40 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50102175/
66,Копейск,Мастер по эксплуатации оборудования,88 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/51918504/
67,Магнитогорск,Контролер технического состояния автомобилей,70 100 — 81 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/51918442/
68,Челябинск,Лицензированный охранник,30 000 — 40 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/51697282/
69,Миасс,Машинист крана,60 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/51689457/
70,Челябинск,Продавец-консультант строительных материалов,45 000 — 67 500 руб.,https://chelyabinskaya.rabota.ru/vacancy/51640559/
71,Челябинск,Курьер,100 000 — 120 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50321161/
72,,,,https://chelyabinskaya.rabota.ru/vacancy/52121767/
73,Челябинск,Курьер в интернет-магазин,130 000 — 135 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50251098/
74,Челябинск,Курьер,82 000 — 108 300 руб.,https://chelyabinskaya.rabota.ru/vacancy/50046290/
75,Челябинск,Водитель-курьер на своём автомобиле,от 120 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52096129/
76,Архангельск,Оператор call-центра (удаленно),35 000 — 50 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50345446/
77,Курск,Консультант интернет-магазина бытовой техники,40 000 — 70 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50435022/
78,Курск,Менеджер магазина бытовой техники,45 000 — 70 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50375167/
79,Иваново,Оператор входящей/исходящей линии (удаленно),35 000 — 45 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52222474/
80,,,,https://chelyabinskaya.rabota.ru/vacancy/52122230/
81,,,,https://chelyabinskaya.rabota.ru/vacancy/52122201/
82,Челябинск,Охранник,до 35 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52121775/
83,Челябинск,Расклейщик,от 60 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52264515/
84,,,,https://chelyabinskaya.rabota.ru/vacancy/50453376/
85,Архангельск,Оператор call-центра (входящие звонки),35 000 — 50 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50491614/
86,Челябинск,Аудитор торговых точек,7 200 руб.,https://chelyabinskaya.rabota.ru/vacancy/52270080/
87,Уфа,Оператор (удаленно),30 000 — 40 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52270093/
88,Казань,Менеджер по продажам,70 000 — 120 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52269054/
89,,,,https://chelyabinskaya.rabota.ru/vacancy/50329788/
90,Челябинск,Медсестра,33 000 — 40 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/48090230/
91,,,,https://chelyabinskaya.rabota.ru/vacancy/51649694/
92,Владимир,Менеджер отдела продаж,190 000 — 320 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52264483/
